pitch,yaw,x,y,z,state
-78.06,28.94,-315,-8,-38,0
-70.69,20.81,1036,-331,-150,0
-83.25,4.62,207,61,-200,0
-80.12,90.75,-9,41,-62,0
-89.37,179.94,-459,-607,-331,0
-73.12,14.06,594,-363,-151,0
-78,24.94,-256,92,704,0
-77.69,20.69,-271,-93,-278,0
-85.44,4.37,81,101,-78,0
-82.12,101.62,-177,36,-478,0
-83.19,-2,-112,384,-292,0
-74.5,19.06,407,49,14,0
-70.75,21.69,749,-545,13,0
-81.5,36.63,392,-56,-238,0
-80.69,87.94,-115,-35,-89,0
-89.19,0.75,-449,-312,-240,0
-73.75,12.75,604,-14,-83,0
-80,31.62,-1010,-80,280,0
-75.62,25.31,286,-20,-280,0
-84.75,174.75,-93,346,-50,0
-85.19,175.62,265,-63,-181,0
-80.31,-8.25,59,430,-291,0
-77.81,23.62,-188,110,-66,0
-71.12,10.06,429,250,-289,0
-83.44,3.56,-84,-68,-263,0
-80.81,89.62,-180,-27,-115,0
-87.69,1.31,-73,-236,-268,0
-73.81,17.81,451,-172,-165,0
-77.62,21.37,-524,334,388,0
-81.69,26.06,-763,-144,-240,0
-84.25,5.69,-66,241,-156,0
-85.31,175.37,124,-138,-356,0
-80,4.31,147,119,-238,0
-76.44,24.5,-255,21,-99,0
-69.94,18.56,759,-271,-372,0
-81.94,14.38,286,43,-254,0
-83.12,79.44,-187,171,-33,0
-87.37,-1.56,-179,-389,-229,0
-73.31,8.19,515,-226,-185,0
-77.56,13.5,-314,94,552,0
-77.87,15.56,-282,-144,-249,0
-86.31,3.31,-1,213,-84,0
-84.31,5.62,-91,-37,-367,0
-81.12,-8.75,-24,327,-342,0
-74,21.06,132,-31,3,0
-70,17.69,718,-447,80,0
-79.37,30.75,399,-84,-285,0
-80,72,4,-72,-44,0
-89.56,179.75,-849,-540,-355,0
-72.44,13.81,502,-402,-209,0
-78.19,23.94,-567,198,406,0
-75.62,17.31,-186,-45,-577,0
-85.62,3.75,-73,152,-140,0
-81.25,96.5,-421,39,-126,0
-82.37,4.25,263,218,-188,0
-73.37,16,382,218,-57,0
-74.19,20.25,-991,-447,-1167,0
-78.87,24.37,329,-160,-158,0
-81.5,69.25,182,104,14,0
-87.56,178.56,-219,-312,-163,0
-77.12,7.25,315,-273,-99,0
-77.69,23.69,-523,-56,-427,0
-73.25,9.75,-90,287,-577,0
-85.37,3.37,-184,-374,-179,0
-81.12,89.69,-228,227,-11,0
-85.06,1.25,-72,-115,-131,0
-78.06,15.94,393,-19,-133,0
-79.56,16.81,-124,-263,-288,0
-80.12,3.81,163,-81,-292,0
-84.94,175.25,252,299,2,0
-86,176.19,214,28,-222,0
-85.94,-0.25,168,-14,-105,0
-81.62,8.75,56,85,-83,0
-82.12,19,221,146,-279,0
-86.44,3.5,246,96,-117,0
-82,123.25,-195,112,-149,0
-87.31,-2.56,378,-91,-32,0
-83,-15.25,545,-113,-71,0
-83.94,2.06,-875,232,-374,0
-82.25,101.69,47,-296,-198,0
-74.25,144.62,-28,214,-96,0
-72.06,153.19,117,550,-145,0
-83.31,177.69,349,-311,-230,0
-85.56,176,-128,47,1,0
-83.31,174.5,309,33,-113,0
-80.06,149.94,152,4,-123,0
-74.87,145.56,-251,32,-112,0
-81.87,-164.19,155,116,-64,0
-72.87,13.94,867,-165,-100,0
-76.56,13.81,-320,325,-291,0
-79.56,42.56,-144,-463,-298,0
-83.94,5.94,72,367,-38,0
-83.12,108.19,-159,12,-293,0
-82,-8.19,-57,378,-311,0
-77.69,25.5,-417,-66,-462,0
-69.75,12.25,328,265,-291,0
-84.19,4.75,-33,170,-179,0
-80.31,91.44,-233,196,-66,0
-83.94,1.5,219,-261,-20,0
-72.62,16.75,468,29,-173,0
-76.25,17.44,-799,-115,-944,0
-77.5,34,286,-514,-323,0
-82.19,66.06,115,195,31,0
-87.44,177.62,-96,-47,-144,0
-77.62,-3.75,307,99,-183,0
-78,26.06,-471,-89,-115,0
-69.75,17.5,713,44,-259,0
-83.94,3.94,71,226,-152,0
-81.44,83.69,-253,243,-39,0
-86.44,-1.19,-126,-398,-69,0
-70.44,13.25,629,-34,-198,0
-75.5,16.87,-274,197,-513,0
-79.44,38.94,-165,-625,-391,0
-84.62,5.31,98,254,-2,0
-85.75,175.81,252,-41,-173,0
-78.44,-14.31,92,317,-226,0
-77.31,18.75,-205,17,-25,0
-69.81,19.5,794,-147,-381,0
-82.25,35.06,253,72,-209,0
-80.94,91.5,-217,246,-35,0
-88.62,-1.19,-70,-392,-47,0
-73.31,10.5,648,-55,-132,0
-78.31,18,-761,214,-168,0
-79.12,28.94,-313,-430,-395,0
-84.87,4.5,107,277,-60,0
-85.44,4.5,159,107,-168,0
-78,-17.19,211,322,-181,0
-75.37,15.88,38,24,44,0
-68.31,10.13,580,174,-273,0
-81.5,25,35,23,-262,0
-81,77.69,-176,289,-156,0
-85.31,-0.81,197,-358,-114,0
-73.5,7.06,510,-199,-207,0
-77.31,15.13,-421,112,722,0
-78.31,27,-230,-506,-401,0
-84.81,4.37,81,341,-44,0
-87.37,2.5,252,-9,-105,0
-77.5,-9.44,287,245,-193,0
-77.94,18.62,-659,-246,-426,0
-70.19,6.06,88,482,-296,0
-84.06,2.44,-180,185,-215,0
-82,73.25,-223,201,-77,0
-83.56,-2.62,-82,-224,-75,0
-71.81,8.63,488,98,-165,0
-74.87,7.75,-572,211,-796,0
-77.56,30.62,49,-622,-368,0
-82.56,54.25,72,248,-28,0
-88.06,1.75,-195,-325,-311,0
-75.81,-1.06,261,-161,-167,0
-76.5,14.63,-394,-251,-140,0
-71.06,8.63,68,328,-628,0
-84.19,3.19,-127,120,-235,0
-81.25,72.12,-168,81,-96,0
-82.56,-13.75,141,-61,-52,0
-72.44,7.87,533,86,-88,0
-76,10.75,-1068,-298,-1346,0
-75.44,26.62,712,-478,-321,0
-81.62,60.06,45,-81,-56,0
-87.87,-1.87,-776,-658,-310,0
-72.12,6.5,496,-474,-251,0
-78.62,17.37,-895,-164,186,0
-76.87,15.38,-520,37,-387,0
-85.81,2.69,-3,314,-140,0
-83,73.12,-239,-112,-668,0
-78.62,-30.56,-429,703,-365,0
-72.87,6.75,253,105,-67,0
-70.37,16.12,348,-808,48,0
-77.06,18.12,545,-111,-347,0
-84.31,4.81,-1,31,-103,0
-87.75,-2.12,-687,-509,-368,0
-72.94,-0.19,455,-413,-186,0
-80.06,19.44,-1186,-385,251,0
-75.31,13.63,-236,371,-501,0
-84.56,4.06,-126,450,-197,0
-81.81,68,1,120,-591,0
-78.81,-17.31,71,443,-354,0
-73.12,19.19,148,61,-252,0
-66.44,17.44,1057,-175,-427,0
-75.94,30.56,545,-106,-338,0
-78.62,67.25,-127,-28,-208,0
-84.06,1.25,-89,-415,-239,0
-69.56,17.81,631,-501,-201,0
-75.37,20.62,-402,243,571,0
-76.44,29.69,-573,-325,-531,0
-83.19,4.56,85,418,-69,0
-83.5,5.87,-80,-59,-318,0
-78.5,-18.62,-265,443,-401,0
-72.75,13.19,293,143,-138,0
-66.56,17.31,943,-256,-312,0
-76.69,24.75,429,-29,-311,0
-80.44,61.19,-136,94,-136,0
-84.06,-1.75,-395,-448,-302,0
-71,7,571,-65,-218,0
-74.75,12.13,-633,324,-213,0
-76.87,28.44,-234,-548,-359,0
-82.87,49.63,135,309,-69,0
-84.87,4.75,126,-53,-180,0
-78.12,-16.62,96,323,-247,0
-75.06,15.5,-106,-52,5,0
-67.81,11.19,619,95,-313,0
-81.75,20.81,-109,57,-305,0
-81.94,72.44,-254,85,-92,0
-83.75,-2.19,136,-265,-15,0
-72.56,5.94,542,-105,-208,0
-76.69,10,-1014,30,-475,0
-77.94,24.25,51,-587,-365,0
-83.25,4.56,194,324,-66,0
-87.37,2.37,-268,-271,-466,0
-76.81,-10.88,130,198,-262,0
-76,15.25,-413,-44,-402,0
-67.56,7.56,149,367,-332,0
-81.62,19.06,19,270,-294,0
-80.69,66.94,-96,188,-114,0
-83.25,-0.5,106,-441,-268,0
-70.94,9.44,498,-230,-256,0
-74.44,10.5,-514,358,346,0
-76.12,21.12,-591,-394,-550,0
-82.31,36.38,78,308,-162,0
-83,64.19,-142,-46,-392,0
-78.94,-24.75,-82,436,-349,0
-73,14.25,281,-25,29,0
-69.19,20,132,-849,-30,0
-75.5,22.25,369,-155,-316,0
-79.69,56.44,51,7,-128,0
-88.75,0,-740,-511,-314,0
-72.44,3.62,472,-552,-221,0
-69.25,9.25,-316,83,-44,0
-77.62,21.87,-78,-118,-604,0
-81,57.38,105,100,-166,0
-79.62,68.56,-164,254,-188,0
-81.19,-14.25,41,-36,-77,0
-72.06,7.12,376,118,-200,0
-75,9,-819,-229,-1413,0
-73.75,18.06,464,-368,-355,0
-82.75,31.75,115,374,-78,0
-86,2.25,73,-64,-226,0
-76.12,-15,21,-141,-163,0
-73.56,6.5,-205,97,-21,0
-69.81,12.25,224,145,-251,0
-80.44,11.75,44,133,-258,0
-83.06,47.19,-257,126,-252,0
-82.06,-25.5,92,-310,-115,0
-76.87,-9.94,416,-122,-178,0
-79.81,-6,-742,231,257,0
-79.06,15.44,-213,-387,-484,0
-86.87,1.31,50,226,-218,0
-88.06,-178.44,-172,-70,-421,0
-84.12,-4.75,31,82,-285,0
-78.44,-8.19,227,59,-46,0
-80.19,8.81,665,200,-262,0
-85.94,2.87,287,6,-219,0
